https://gml.noaa.gov/webdata/ccgg/trends/co2/co2_annmean_mlo.csv (qui sotto DAL 1960)
316.91	317.64	318.45	318.99	319.62	320.04	321.37	322.18	323.05	324.62	325.68	326.32	327.46	329.68	330.19	331.13	332.03	333.84	335.41	336.84	338.76	340.12	341.48	343.15	344.87	346.35	347.61	349.31	351.69	353.20	354.45	355.70	356.54	357.21	358.96	360.97	362.74	363.88	366.84	368.54	369.71	371.32	373.45	375.98	377.70	379.98	382.09	384.02	385.83	387.64	390.10	391.85	394.06	396.74	398.81	401.01	404.41	406.76	408.72	411.65	414.21	416.41	418.53	421.08	424.61	427.35

TFR in https://api.worldbank.org/v2/en/indicator/SP.DYN.TFRT.IN?downloadformat=csv
TFT Italia in https://demo.istat.it/app/?i=FE1&l=it , poi cliccando su "Cerca" in basso a sinistra
2,41	2,41	2,46	2,55	2,70	2,66	2,62	2,53	2,49	2,51	2,42	2,41	2,36	2,34	2,33	2,20	2,11	1,97	1,87	1,76	1,68	1,60	1,60	1,54	1,48	1,45	1,37	1,35	1,38	1,35	1,36	1,32	1,32	1,26	1,22	1,19	1,22	1,23	1,21	1,23	1,26	1,25	1,27	1,29	1,34	1,33	1,37	1,39	1,44	1,44	1,44	1,42	1,42	1,39	1,38	1,36	1,36	1,34	1,31	1,27	1,24	1,25	1,24	1,20	1,18	1,14	

POPOLAZIONE ITA https://seriestoriche.istat.it/fileadmin/documenti/Tavola_2.3.xls (fino al 2011); poi bisogna cercare altrove e non è semplice. Comunque.
POPOLAZIONE		50025500	50373900	50698800	51060100	51443900	51906800	52317900	52720100	53080900	53390600	53685300	53958400	54188579	54574111	54928700	55293036	55588966	55847553	56063269	56247017	56388480	56479285	56524064	56563031	56565117	56588319	56597823	56594487	56609375	56649201	56694360	56744119	56772923	56821250	56842392	56844408	56844197	56876364	56904379	56909109	56923524	56960692	56987507	57130506	57495900	57874753	58064214	58223744	58652875	59000586	59190143	59364690	59394207	59685227	60782668	60.782.668	60.795.612	60.665.551	60.589.445	60.483.973	59.816.673	59.641.488	59.236.213	59.030.133	58.997.201	58.971.230								



https://db.nomics.world/AMECO/UOGD?dimensions=%7B%22geo%22%3A%5B%22kor%22%2C%22jpn%22%2C%22usa%22%2C%22gbr%22%2C%22fra%22%2C%22ita%22%2C%22esp%22%2C%22deu%22%5D%7D&tab=table 

Series code		1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027


https://db.nomics.world/AMECO/UWCD?dimensions=%7B%22geo%22%3A%5B%22kor%22%2C%22jpn%22%2C%22usa%22%2C%22gbr%22%2C%22fra%22%2C%22ita%22%2C%22esp%22%2C%22deu%22%5D%7D&page=2&tab=table

[DEU.1.0.0.0.UWCD] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	863.029	936.814	960.233	986.556	1024.485	1033.988	1038.59	1060.868	1090.834	1134.632	1152.309	1160.285	1165.998	1170.964	1168.433	1190.349	1224.004	1271.712	1278.78	1317.103	1373.46	1428.808	1471.443	1531.87	1594.004	1657.401	1732.387	1816.102	1899.063	1894.056	1962.673	2080.968	2229.906	2351.99	2453.12557	2536.53184	2622.77392
[ESP.1.0.0.0.UWCD] 	1.79496	2.02823	2.35239	2.86151	3.27656	3.86539	4.62043	5.35718	5.91674	6.76978	7.65696	8.87071	10.77527	13.13821	16.30171	19.86549	24.43642	31.02166	38.03947	44.35355	50.25419	56.38292	63.82066	72.18059	77.18037	83.81974	94.93407	106.75128	119.67331	135.71188	156.69343	176.24983	191.89523	200.40368	207.08883	219.791	232.395	251.708	270.455	290.388	316.163	336.896	358.651	380.011	405.676	435.445	471.958	509.107	545.226	531.653	528.815	515.74	483.951	470.153	476.301	497.019	508.025	528.14	550.649	585.833	561.866	604.193	656.283	711.789	763.677	813.316	854.3478	887.36834
[FRA.1.0.0.0.UWCD] 	20.79121	23.24795	26.28374	30.08663	33.53418	36.21759	39.0564	42.2367	47.53719	54.42537	61.79855	69.71218	77.9277	89.66204	107.18189	126.46165	147.07964	167.27399	189.4658	215.2362	247.2866	280.6635	321.7323	353.5661	379.9007	402.5573	423.5782	442.3135	467.558	497.5379	530.9977	554.3344	575.4168	585.7232	597.9185	619.8475	637.2694	654.0275	678.0161	709.3184	748.6543	781.6435	813.7939	837.8199	866.9874	899.2736	937.3259	974.3352	1003.8848	1006.633	1032.7288	1064.378	1088.7796	1107.9149	1126.8546	1143.0907	1164.9861	1202.199	1231.9854	1243.0411	1195.0115	1285.6355	1378.3554	1449.2561	1502.8737	1535.93692	1569.72753	1605.83127
[GBR.1.0.0.0.UWCD] 	15.14445	16.37746	17.27511	18.16877	19.69734	21.27568	22.80724	23.76061	25.42353	27.19195	30.51978	33.47742	37.81834	43.83612	52.40152	68.53616	77.99324	86.4631	98.65987	115.66827	137.53309	149.32482	158.41767	169.67599	181.33736	195.85685	211.1257	227.7828	253.92584	283.45345	312.95119	333.42576	344.87715	355.59908	368.24765	384.97144	403.31933	436.952	458.86	495.85	532.509	567.195	580.827	612.111	654.288	692.823	733.349	783.885	799.675	790.58	809.919	826.366	841.692	873.956	896.603	926.308	963.779	1001.409	1042.411	1091.121	1094.319	1156.15	1246.716	1329.778	1412.393	1468.88872	1507.07983	1544.75682

[ITA.1.0.0.0.UWCD] 	5.17009	5.74665	6.68624	8.1347	9.06117	9.6073	10.27461	11.36476	12.35734	13.61589	15.92158	18.3014	20.39236	24.51054	30.63586	36.94576	45.38532	55.35193	64.11212	77.74364	95.69352	116.3686	135.52988	155.69935	173.68246	193.96479	209.58026	227.33493	249.44069	273.2777	305.79937	335.06692	351.10915	357.98432	366.12884	380.4652	406.1484	425.6654	424.0727	439.1286	456.6956	481.2742	503.5289	524.389	543.3779	566.7351	592.1013	614.8985	636.7028	632.3164	640.1786	649.0672	640.1097	634.1138	635.9379	649.3151	665.2235	682.7548	703.6504	718.9568	677.9612	738.2206	783.5975	823.169	866.0952	900.73901	930.01303	956.5184	

[JPN.1.0.0.0.UWCD] 	6344.52762	7511.57462	8966.6964	10463.11218	12239.73723	14255.27753	16497.93483	18961.80995	22099.1705	26008.33551	31358.85764	37181.31116	43285.94032	54252.44599	68833.15954	80209.6556	90473.18013	101067.0566	109211.8059	118043.8052	128206.0611	138813.9999	146703.1117	154239.2295	162701.3876	170173.2616	177378.0637	183568.1315	194249.9159	208140.4229	225147.9887	243216.6157	251113.0528	256543.3814	261592.9	265944.8	270561.6	278619.7	274439	269117.5	269760.7	266480	257309.9	255080.6	255851.6	260470.5	265057.9	266484.6	266666.7	253660.6	251043.6	251454	251514.1	253202.1	257408	260504.9	267291.8	271992.2	281235.3	286784.6	283079	288639.6	295260.4	301191.9	312034.8084	322643.9919	331032.7357	339308.5541
[KOR.1.0.0.0.UWCD] 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	976.71786	1206.15519	1466.21878	1915.02313	2591.29227	3509.24926	4967.05879	6722.61778	9592.14176	12837.17471	16225.37242	20064.03555	23358.79723	28303.11993	32603.46081	36259.19699	42155.32127	50655.81886	62348.71379	74164.21754	91122.85508	113624.7402	129657.842	147489.3796	173231.2106	206631.8883	237102.101	251101.1007	239346.0189	255742.2754	280662.7	309761.7	342355.3	373346	405112.6	435705.8	464226.7	501075.5	531515.7	551885.1	591304.3	631625.5	661336.9	697501.3	739024.1	788366.1	826816	866774.2	914050.9	962415.5	985597.8	1038685.8	1103857.7	1150359.8	NA	NA	NA	NA
[USA.1.0.0.0.UWCD] 	301.438	310.566	332.297	350.471	376.029	405.41	449.225	481.76	530.739	584.436	623.324	664.974	731.334	812.696	887.737	947.273	1048.384	1165.887	1316.864	1477.302	1622.345	1792.681	1893.175	2012.662	2216.083	2387.539	2543.845	2723.761	2948.854	3140.886	3342.68	3453.267	3671.211	3820.61	4010.207	4202.178	4421.067	4713.22	5075.701	5409.932	5854.629	6046.343	6143.368	6362.296	6729.301	7077.721	7491.255	7889.369	8068.679	7767.191	7932.969	8234.013	8575.371	8843.638	9259.655	9709.535	9977.096	10434.978	10967.687	11458.472	11605.744	12569.557	13462.215	14228.378	15049.121	15734.85961	16304.37025	16932.88446




